순위,종목명,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
1,HLB,79400,+1200,+1.53%,449968,78500,80200,77700,-55.76,-32.55
2,삼성전자,53900,-200,-0.37%,17230180,54200,54600,53700,11.42,4.15
3,에코프로비엠,127300,+9200,+7.79%,1047946,119700,131000,119200,-57.29,-0.64
4,레인보우로보틱스,249000,+10000,+4.18%,1411329,236500,257000,232500,-236.02,-0.93
5,한화오션,47950,+2800,+6.20%,12230321,45350,49400,45350,59.94,6.33
6,한국첨단소재,4460,-1910,-29.98%,23126997,4500,5140,4460,-8.45,-66.67
7,대원전선,3890,-100,-2.51%,30993550,3885,3950,3745,31.89,10.02
8,유한양행,130800,-6900,-5.01%,2153027,138100,138300,129900,63.46,6.74
9,SK하이닉스,195000,+700,+0.36%,2742871,194300,197900,193600,13.61,-15.61
10,iMBC,4280,+860,+25.15%,25265197,3425,4335,3390,56.32,3.63
11,대주전자재료,95000,+15700,+19.80%,1158722,80300,97900,80300,82.61,0.51
12,엘앤에프,89000,+8400,+10.42%,752757,81000,92000,80700,-5.92,-16.35
13,HLB제약,25050,+250,+1.01%,110477,24850,25400,24550,155.59,-22.32
14,에코프로,63900,+3400,+5.62%,1204820,61500,65000,61000,-46.81,3.43
15,HLB테라퓨틱스,12420,-660,-5.05%,1013602,13190,13200,11930,-35.28,-1.66
16,두산에너빌리티,20100,0,0.00%,3824091,19940,20200,19830,157.03,0.78
17,SKC,158100,+7300,+4.84%,1870938,158000,163800,154500,-19.39,-17.57
18,알테오젠,307500,+8500,+2.84%,241860,303500,312000,302000,-5,590.91
19,삼성SDI,236500,+7000,+3.05%,351476,232500,238500,230500,12.59,11.48
20,신성델타테크,88700,-800,-0.89%,431491,87800,90800,85800,-547.53,6.75
21,현대차,222000,+2000,+0.91%,544451,221000,224500,219500,4.86,13.68
22,LG에너지솔루션,358000,+10500,+3.02%,287268,350000,360000,350000,-230.97,6.36
23,JYP Ent.,75800,+5000,+7.06%,1148009,70700,75800,70700,35.54,30.37
24,현대힘스,18490,+1530,+9.02%,17869623,16940,20250,16850,38.44,5.87
25,오상헬스케어,17450,+3010,+20.84%,3004217,14440,18770,14000,-17.35,47.25
26,POSCO홀딩스,259500,+2500,+0.97%,300102,258500,262000,255000,16.60,3.18
27,코오롱티슈진,30150,+1500,+5.24%,368384,28750,30400,27650,-119.64,-16.69
28,HLB생명과학,10790,+50,+0.47%,345808,10820,10900,10640,17.13,-2.57
29,셀트리온,184500,+700,+0.38%,370674,185000,187800,183600,207.07,5.07
30,NAVER,202000,-2000,-0.98%,483728,204000,205500,202000,19.48,4.41
